Title,News_url,Image_url,Label
Tucker Carlson warns Dems now totally 'totalitarian',https://www.wnd.com/2021/08/tucker-carlson-warns-dems-now-totally-totalitarian/?utm_source=twitter&utm_medium&utm_content=2021-08-05,https://www.wnd.com/wp-content/uploads/2021/04/realtor-real-estate-home-house-keys-hand-Pexels.jpg,1
Supremes slap down Biden's eviction moratorium,https://www.wnd.com/2021/08/supremes-slap-bidens-eviction-moratorium/?utm_source=twitter&utm_medium&utm_content=2021-08-27,https://www.wnd.com/wp-content/uploads/2020/10/key-lock-door-Pexels-copyright-free-image.jpg,1
GOP stages COVID revolt as Biden resurrects masking,https://www.wnd.com/2021/07/gop-stages-covid-revolt-biden-resurrects-masking/?utm_source=twitter&utm_medium&utm_content=2021-07-31,https://www.wnd.com/wp-content/uploads/2020/05/face-masks-coronavirus-covid-19-woman-eyes-jpg.jpg,0
"Canada reopens border to Americans, but only for the vaccinated",https://www.wnd.com/2021/08/canada-reopens-border-americans-vaccinated/?utm_source=twitter&utm_medium&utm_content=2021-08-10,https://www.wnd.com/wp-content/uploads/2019/07/america-niagara-falls-canada-danger-dawn-waterfall-border-colors-amazing-pixabay.jpg,1
Vaccine passports blasted as 'stealth move to tyranny',https://www.wnd.com/2021/05/vaccine-passports-blasted-stealth-move-tyranny/?utm_source=twitter&utm_medium&utm_content=2021-05-16,https://www.wnd.com/wp-content/uploads/2021/01/vaccines-flag-covid-coronavirus-masks-americans-patriotic-military-defense.jpg,1
WSJ directly targets “White Evangelicals” as greatest evaders of COVID vaccine among religious groups,https://endtimeheadlines.org/2021/07/wsj-directly-targets-white-evangelicals-as-greatest-evaders-or-covid-vaccine-among-religious-groups/,https://endtimeheadlines.org/wp-content/uploads/2021/07/shutterstock_764526784.jpeg,0
CNN admits one governor got it right on lockdown,https://www.wnd.com/2021/03/cnn-admits-1-governor-got-right-lockdown/?utm_source=twitter&utm_medium&utm_content=2021-03-17,https://www.wnd.com/wp-content/uploads/2021/01/lockdown-hallway-business-closed-covid-coronavirus-economy-jobs-unemployment-jk.jpg,0
4 Things I Wish I Had Known Before the SHTF in Venezuela,https://www.naturalblaze.com/2020/12/4-things-i-wish-i-had-known-before-the-shtf-in-venezuela.html,https://www.naturalblaze.com/wp-content/uploads/2020/12/father-son-pix.jpg,1
Biden and Pelosi 'missing the point' about health care options,https://www.wnd.com/2021/07/biden-pelosi-missing-point-health-care-options/?utm_source=twitter&utm_medium&utm_content=2021-07-17,https://www.wnd.com/wp-content/uploads/2017/10/Rules-and-regulations.jpg,1
Study Outlines The Damage to Democracy and Human Rights Under Lockdowns,https://www.activistpost.com/2021/08/study-outlines-the-damage-to-democracy-and-human-rights-under-lockdowns.html?utm_source=Twitter&utm_medium=Social&utm_campaign=OneUpApp,https://www.activistpost.com/wp-content/uploads/2021/08/mad-max-aier.jpg,1
Free Big Mac': CDC boss told to hold 'prize drawing' for vaccinated Americans,https://www.wnd.com/2021/05/free-big-mac-cdc-boss-told-hold-prize-drawing-vaccinated-americans/?utm_source=twitter&utm_medium&utm_content=2021-05-05,https://www.wnd.com/wp-content/uploads/2021/04/license-plates-florida-big-mac-mcdonalds-food-lunch-dinner-meals-beef-burgers-hunger-fast-food-eating-restaurants-scuba-diving-under-water-jk.jpg,1
